5/7/2019, 1:45:05 PM ,,,
,,2.02E-11,,
,,2.01E-11,,
,,1.99E-11,,
,,1.97E-11,,
,,1.95E-11,,
,,1.95E-11,,
,,1.95E-11,,
,,1.98E-11,,
,,1.96E-11,,
,,1.95E-11,,
,,1.94E-11,,
,,1.95E-11,,
,,1.96E-11,,
,,1.93E-11,,
,,1.93E-11,,
,,1.93E-11,,
,,1.96E-11,,
,,1.97E-11,,
,,1.97E-11,,
,,1.97E-11,,
,,1.95E-11,,
,,1.96E-11,,
,,1.94E-11,,
,,1.94E-11,,
,,1.94E-11,,
,,1.97E-11,,
,,1.98E-11,,
,,1.95E-11,,
,,1.93E-11,,
,,1.93E-11,,
,,1.94E-11,,
,,1.92E-11,,
,,1.92E-11,,
,,1.94E-11,,
,,1.97E-11,,
,,1.98E-11,,
,,1.97E-11,,
,,1.96E-11,,
,,1.96E-11,,
,,1.98E-11,,
,,1.99E-11,,
,,2.01E-11,,
,,2.01E-11,,
,,2.01E-11,,
,,2.01E-11,,
,,1.98E-11,,
,,1.98E-11,,
,,1.99E-11,,
,,2.03E-11,,
,,2.05E-11,,
,,2.05E-11,,
,,2.04E-11,,
,,2.01E-11,,
,,1.99E-11,,
,,1.98E-11,,
,,2.01E-11,,
,,2.01E-11,,
,,2.03E-11,,
,,2.03E-11,,
,,2.01E-11,,
,,1.98E-11,,
,,1.99E-11,,
,,2.02E-11,,
,,2.03E-11,,
,,2.02E-11,,
,,1.99E-11,,
,,1.99E-11,,
,,2.01E-11,,
,,2.03E-11,,
,,2.03E-11,,
,,2.01E-11,,
,,2.01E-11,,
,,1.98E-11,,
,,1.99E-11,,
,,1.98E-11,,
,,1.99E-11,,
,,1.97E-11,,
,,1.96E-11,,
,,1.94E-11,,
,,1.95E-11,,
,,1.95E-11,,
,,1.97E-11,,
,,1.95E-11,,
,,1.94E-11,,
,,1.94E-11,,
,,1.95E-11,,
,,1.96E-11,,
,,1.94E-11,,
,,1.94E-11,,
,,1.93E-11,,
,,1.93E-11,,
,,1.92E-11,,
,,1.93E-11,,
,,1.91E-11,,
,,1.89E-11,,
,,1.87E-11,,
,,1.87E-11,,
,,1.87E-11,,
,,1.85E-11,,
,,1.88E-11,,
,,1.88E-11,,
,,1.89E-11,,
,,1.85E-11,,
,,1.84E-11,,
,,1.84E-11,,
,,1.84E-11,,
,,1.83E-11,,
,,1.83E-11,,
,,1.84E-11,,
,,1.84E-11,,
,,1.82E-11,,
,,1.79E-11,,
,,1.77E-11,,
,,1.75E-11,,
,,1.76E-11,,
,,1.81E-11,,
,,1.84E-11,,
,,1.85E-11,,
,,1.82E-11,,
,,1.78E-11,,
,,1.75E-11,,
,,1.74E-11,,
,,1.74E-11,,
,,1.73E-11,,
,,1.73E-11,,
,,1.74E-11,,
,,1.75E-11,,
,,1.74E-11,,
,,1.72E-11,,
,,1.70E-11,,
,,1.68E-11,,
,,1.69E-11,,
,,1.69E-11,,
,,1.73E-11,,
,,1.72E-11,,
,,1.70E-11,,
,,1.66E-11,,
,,1.64E-11,,
,,1.64E-11,,
,,1.63E-11,,
,,1.62E-11,,
,,1.62E-11,,
,,1.63E-11,,
,,1.63E-11,,
,,1.60E-11,,
,,1.56E-11,,
,,1.54E-11,,
,,1.54E-11,,
,,1.54E-11,,
,,1.55E-11,,
,,1.55E-11,,
,,1.55E-11,,
,,1.54E-11,,
,,1.52E-11,,
,,1.50E-11,,
,,1.48E-11,,
,,1.46E-11,,
,,1.46E-11,,
,,1.46E-11,,
,,1.46E-11,,
,,1.45E-11,,
,,1.41E-11,,
,,1.39E-11,,
,,1.38E-11,,
,,1.38E-11,,
,,1.35E-11,,
,,1.34E-11,,
,,1.32E-11,,
,,1.31E-11,,
,,1.30E-11,,
,,1.29E-11,,
,,1.28E-11,,
,,1.24E-11,,
,,1.23E-11,,
,,1.21E-11,,
,,1.20E-11,,
,,1.16E-11,,
,,1.14E-11,,
,,1.09E-11,,
,,1.08E-11,,
,,1.08E-11,,
,,1.09E-11,,
,,1.08E-11,,
,,1.08E-11,,
,,1.05E-11,,
,,1.04E-11,,
,,1.02E-11,,
,,1.01E-11,,
,,9.85E-12,,
,,9.53E-12,,
,,9.21E-12,,
,,8.99E-12,,
,,8.89E-12,,
,,8.89E-12,,
,,8.67E-12,,
,,8.24E-12,,
,,7.92E-12,,
,,7.60E-12,,
,,7.81E-12,,
,,7.70E-12,,
,,7.70E-12,,
,,7.38E-12,,
,,7.17E-12,,
,,6.95E-12,,
,,6.85E-12,,
,,6.52E-12,,
,,6.42E-12,,
,,6.09E-12,,
,,6.20E-12,,
,,5.99E-12,,
,,5.77E-12,,
,,5.34E-12,,
,,5.02E-12,,
,,4.70E-12,,
,,4.48E-12,,
,,4.59E-12,,
,,4.48E-12,,
,,4.59E-12,,
,,4.05E-12,,
,,4.05E-12,,
,,3.73E-12,,
,,3.52E-12,,
,,3.09E-12,,
,,2.87E-12,,
,,2.87E-12,,
,,2.77E-12,,
,,2.66E-12,,
,,2.44E-12,,
,,2.23E-12,,
,,1.91E-12,,
,,1.69E-12,,
,,1.59E-12,,
,,1.37E-12,,
,,1.26E-12,,
,,1.05E-12,,
,,9.41E-13,,
,,7.26E-13,,
,,4.04E-13,,
,,2.97E-13,,
,,1.89E-13,,
,,1.89E-13,,
,,1.89E-13,,
,,-1.33E-13,,
,,-2.40E-13,,
,,-6.69E-13,,
,,-7.77E-13,,
,,-1.10E-12,,
,,-1.31E-12,,
,,-1.42E-12,,
,,-1.31E-12,,
,,-1.42E-12,,
,,-1.53E-12,,
,,-1.74E-12,,
,,-1.96E-12,,
,,-2.17E-12,,
,,-2.49E-12,,
,,-2.60E-12,,
,,-2.71E-12,,
,,-2.82E-12,,
,,-3.03E-12,,
,,-3.35E-12,,
,,-3.68E-12,,
,,-3.78E-12,,
,,-4.00E-12,,
,,-4.10E-12,,
,,-4.21E-12,,
,,-4.10E-12,,
,,-4.10E-12,,
,,-4.21E-12,,
,,-4.53E-12,,
,,-4.53E-12,,
,,-4.86E-12,,
,,-4.96E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.29E-12,,
,,-5.39E-12,,
,,-5.50E-12,,
,,-5.50E-12,,
,,-5.61E-12,,
,,-5.82E-12,,
,,-5.93E-12,,
,,-6.14E-12,,
,,-6.36E-12,,
,,-6.47E-12,,
,,-6.57E-12,,
,,-6.57E-12,,
,,-6.90E-12,,
,,-7.11E-12,,
,,-7.33E-12,,
,,-7.22E-12,,
,,-7.11E-12,,
,,-7.00E-12,,
,,-7.00E-12,,
,,-7.33E-12,,
,,-7.54E-12,,
,,-7.86E-12,,
,,-7.65E-12,,
,,-7.65E-12,,
,,-7.65E-12,,
,,-7.97E-12,,
,,-7.97E-12,,
,,-8.18E-12,,
,,-8.40E-12,,
,,-8.72E-12,,
,,-8.83E-12,,
,,-8.72E-12,,
,,-8.61E-12,,
,,-8.61E-12,,
,,-8.61E-12,,
,,-8.83E-12,,
,,-8.94E-12,,
,,-9.26E-12,,
,,-9.15E-12,,
,,-9.15E-12,,
,,-9.15E-12,,
,,-9.15E-12,,
,,-9.26E-12,,
,,-9.37E-12,,
,,-9.37E-12,,
,,-9.47E-12,,
,,-9.37E-12,,
,,-9.58E-12,,
,,-9.47E-12,,
,,-9.58E-12,,
,,-9.58E-12,,
,,-9.58E-12,,
,,-9.47E-12,,
,,-9.58E-12,,
,,-9.69E-12,,
,,-9.79E-12,,
,,-9.79E-12,,
,,-9.69E-12,,
,,-9.47E-12,,
,,-9.37E-12,,
,,-9.26E-12,,
,,-9.26E-12,,
,,-9.47E-12,,
,,-9.58E-12,,
,,-9.69E-12,,
,,-9.58E-12,,
,,-9.69E-12,,
,,-9.58E-12,,
,,-9.47E-12,,
,,-9.26E-12,,
,,-9.47E-12,,
,,-9.58E-12,,
,,-9.79E-12,,
,,-9.79E-12,,
,,-9.69E-12,,
,,-9.58E-12,,
,,-9.37E-12,,
,,-9.37E-12,,
,,-9.47E-12,,
,,-9.58E-12,,
,,-9.69E-12,,
,,-9.58E-12,,
,,-9.47E-12,,
,,-9.26E-12,,
,,-9.26E-12,,
,,-9.26E-12,,
,,-9.26E-12,,
,,-9.15E-12,,
,,-9.26E-12,,
,,-9.37E-12,,
,,-9.37E-12,,
,,-9.37E-12,,
,,-9.15E-12,,
,,-8.94E-12,,
,,-8.94E-12,,
,,-9.04E-12,,
,,-9.37E-12,,
,,-9.26E-12,,
,,-9.04E-12,,
,,-8.83E-12,,
,,-8.94E-12,,
,,-8.94E-12,,
,,-8.83E-12,,
,,-8.61E-12,,
,,-8.72E-12,,
,,-8.72E-12,,
,,-8.72E-12,,
,,-8.61E-12,,
,,-8.51E-12,,
,,-8.29E-12,,
,,-8.08E-12,,
,,-8.08E-12,,
,,-8.18E-12,,
,,-8.51E-12,,
,,-8.51E-12,,
,,-8.29E-12,,
,,-8.08E-12,,
,,-8.08E-12,,
,,-8.18E-12,,
,,-8.29E-12,,
,,-8.18E-12,,
,,-8.08E-12,,
,,-7.65E-12,,
,,-7.54E-12,,
,,-7.22E-12,,
,,-7.33E-12,,
,,-7.22E-12,,
,,-7.33E-12,,
,,-7.11E-12,,
,,-6.79E-12,,
,,-6.68E-12,,
,,-6.57E-12,,
,,-6.68E-12,,
,,-6.36E-12,,
,,-6.14E-12,,
,,-6.04E-12,,
,,-5.93E-12,,
,,-5.93E-12,,
,,-6.04E-12,,
,,-6.04E-12,,
,,-5.82E-12,,
,,-5.50E-12,,
,,-5.50E-12,,
,,-5.50E-12,,
,,-5.39E-12,,
,,-5.29E-12,,
,,-5.07E-12,,
,,-4.96E-12,,
,,-4.64E-12,,
,,-4.64E-12,,
,,-4.64E-12,,
,,-4.86E-12,,
,,-4.96E-12,,
,,-5.07E-12,,
,,-5.29E-12,,
,,-5.39E-12,,
,,-5.18E-12,,
,,-4.86E-12,,
,,-4.64E-12,,
,,-4.64E-12,,
,,-4.43E-12,,
,,-4.53E-12,,
,,-4.75E-12,,
,,-4.96E-12,,
,,-5.07E-12,,
,,-4.75E-12,,
,,-4.75E-12,,
,,-4.32E-12,,
,,-4.53E-12,,
,,-4.64E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-4.86E-12,,
,,-4.86E-12,,
,,-4.75E-12,,
,,-4.96E-12,,
,,-5.07E-12,,
,,-5.29E-12,,
,,-5.07E-12,,
,,-5.07E-12,,
,,-4.96E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.07E-12,,
,,-5.29E-12,,
,,-5.39E-12,,
,,-5.61E-12,,
,,-5.72E-12,,
,,-5.61E-12,,
,,-5.50E-12,,
,,-5.39E-12,,
,,-5.50E-12,,
,,-5.72E-12,,
,,-5.93E-12,,
,,-6.14E-12,,
,,-6.14E-12,,
,,-6.14E-12,,
,,-5.93E-12,,
,,-5.82E-12,,
,,-5.93E-12,,
,,-5.93E-12,,
,,-6.25E-12,,
,,-6.04E-12,,
,,-6.25E-12,,
,,-6.14E-12,,
,,-6.04E-12,,
,,-6.25E-12,,
,,-6.25E-12,,
,,-6.57E-12,,
,,-6.36E-12,,
,,-6.47E-12,,
,,-6.47E-12,,
,,-6.47E-12,,
,,-6.25E-12,,
,,-6.14E-12,,
,,-6.14E-12,,
,,-6.25E-12,,
,,-6.25E-12,,
,,-6.14E-12,,
,,-6.25E-12,,
,,-6.25E-12,,
,,-6.36E-12,,
,,-6.36E-12,,
,,-6.47E-12,,
,,-6.57E-12,,
,,-6.57E-12,,
,,-6.57E-12,,
,,-6.47E-12,,
,,-6.57E-12,,
,,-6.57E-12,,
,,-6.47E-12,,
,,-6.47E-12,,
,,-6.47E-12,,
,,-6.68E-12,,
,,-6.47E-12,,
,,-6.57E-12,,
,,-6.57E-12,,
,,-6.68E-12,,
,,-6.36E-12,,
,,-6.25E-12,,
,,-6.25E-12,,
,,-6.25E-12,,
,,-6.25E-12,,
,,-6.14E-12,,
,,-6.36E-12,,
,,-6.36E-12,,
,,-6.36E-12,,
,,-6.14E-12,,
,,-6.14E-12,,
,,-6.14E-12,,
,,-6.25E-12,,
,,-6.36E-12,,
,,-6.47E-12,,
,,-6.57E-12,,
,,-6.57E-12,,
,,-6.47E-12,,
,,-6.25E-12,,
,,-6.25E-12,,
,,-6.36E-12,,
,,-6.57E-12,,
,,-6.57E-12,,
,,-6.57E-12,,
,,-6.57E-12,,
,,-6.25E-12,,
,,-6.04E-12,,
,,-5.82E-12,,
,,-6.04E-12,,
,,-6.14E-12,,
,,-6.14E-12,,
,,-6.14E-12,,
,,-6.14E-12,,
,,-6.04E-12,,
,,-6.04E-12,,
,,-5.93E-12,,
,,-6.04E-12,,
,,-5.93E-12,,
,,-6.04E-12,,
,,-6.25E-12,,
,,-6.04E-12,,
,,-5.93E-12,,
,,-5.72E-12,,
,,-5.93E-12,,
,,-5.72E-12,,
,,-5.72E-12,,
,,-5.61E-12,,
,,-5.72E-12,,
,,-5.50E-12,,
,,-5.61E-12,,
,,-5.61E-12,,
,,-5.50E-12,,
,,-5.29E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.29E-12,,
,,-5.39E-12,,
,,-5.29E-12,,
,,-5.07E-12,,
,,-4.86E-12,,
,,-4.96E-12,,
,,-4.86E-12,,
,,-4.96E-12,,
,,-4.86E-12,,
,,-4.86E-12,,
,,-4.75E-12,,
,,-4.64E-12,,
,,-4.64E-12,,
,,-4.53E-12,,
,,-4.53E-12,,
,,-4.32E-12,,
,,-4.32E-12,,
,,-4.21E-12,,
,,-4.21E-12,,
,,-4.10E-12,,
,,-4.10E-12,,
,,-4.10E-12,,
,,-4.10E-12,,
,,-4.10E-12,,
,,-4.21E-12,,
,,-4.10E-12,,
,,-4.00E-12,,
,,-3.68E-12,,
,,-3.68E-12,,
,,-3.57E-12,,
,,-3.89E-12,,
,,-4.00E-12,,
,,-4.10E-12,,
,,-3.89E-12,,
,,-4.00E-12,,
,,-4.21E-12,,
,,-4.21E-12,,
,,-4.10E-12,,
,,-3.78E-12,,
,,-3.89E-12,,
,,-3.89E-12,,
,,-4.10E-12,,
,,-4.32E-12,,
,,-4.32E-12,,
,,-4.10E-12,,
,,-3.89E-12,,
,,-3.78E-12,,
,,-3.68E-12,,
,,-3.89E-12,,
,,-3.89E-12,,
,,-4.00E-12,,
,,-3.89E-12,,
,,-3.78E-12,,
,,-4.00E-12,,
,,-3.78E-12,,
,,-4.00E-12,,
,,-3.78E-12,,
,,-3.89E-12,,
,,-3.89E-12,,
,,-3.89E-12,,
,,-4.10E-12,,
,,-4.10E-12,,
,,-4.32E-12,,
,,-4.10E-12,,
,,-4.21E-12,,
,,-4.10E-12,,
,,-4.32E-12,,
,,-4.32E-12,,
,,-4.43E-12,,
,,-4.32E-12,,
,,-4.32E-12,,
,,-4.10E-12,,
,,-4.32E-12,,
,,-4.32E-12,,
,,-4.64E-12,,
,,-4.43E-12,,
,,-4.53E-12,,
,,-4.32E-12,,
,,-4.32E-12,,
,,-4.21E-12,,
,,-4.32E-12,,
,,-4.43E-12,,
,,-4.53E-12,,
,,-4.64E-12,,
,,-4.53E-12,,
,,-4.64E-12,,
,,-4.75E-12,,
,,-4.64E-12,,
,,-4.64E-12,,
,,-4.53E-12,,
,,-4.75E-12,,
,,-4.86E-12,,
,,-5.07E-12,,
,,-5.29E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-5.07E-12,,
,,-4.86E-12,,
,,-4.75E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-4.86E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-5.18E-12,,
,,-5.29E-12,,
,,-5.18E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-5.07E-12,,
,,-5.07E-12,,
,,-5.07E-12,,
,,-5.18E-12,,
,,-5.29E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.07E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-5.07E-12,,
,,-5.18E-12,,
,,-5.07E-12,,
,,-4.96E-12,,
,,-4.75E-12,,
,,-4.86E-12,,
,,-4.86E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-4.75E-12,,
,,-4.64E-12,,
,,-4.43E-12,,
,,-4.43E-12,,
,,-4.43E-12,,
,,-4.32E-12,,
,,-4.32E-12,,
,,-4.21E-12,,
,,-4.21E-12,,
,,-4.32E-12,,
,,-4.21E-12,,
,,-4.10E-12,,
,,-4.00E-12,,
,,-3.89E-12,,
,,-3.89E-12,,
,,-3.78E-12,,
,,-3.89E-12,,
,,-4.10E-12,,
,,-3.89E-12,,
,,-3.68E-12,,
,,-3.46E-12,,
,,-3.57E-12,,
,,-3.57E-12,,
,,-3.57E-12,,
,,-3.46E-12,,
,,-3.46E-12,,
,,-3.35E-12,,
,,-3.25E-12,,
,,-3.25E-12,,
,,-3.25E-12,,
,,-3.25E-12,,
,,-3.25E-12,,
,,-3.14E-12,,
,,-3.14E-12,,
,,-2.82E-12,,
,,-2.60E-12,,
,,-2.49E-12,,
,,-2.71E-12,,
,,-2.82E-12,,
,,-2.82E-12,,
,,-2.60E-12,,
,,-2.60E-12,,
,,-2.60E-12,,
,,-2.60E-12,,
,,-2.60E-12,,
,,-2.60E-12,,
,,-2.60E-12,,
,,-2.60E-12,,
,,-2.60E-12,,
,,-2.71E-12,,
,,-2.60E-12,,
,,-2.49E-12,,
,,-2.39E-12,,
,,-2.49E-12,,
,,-2.49E-12,,
,,-2.82E-12,,
,,-2.60E-12,,
,,-2.49E-12,,
,,-2.28E-12,,
,,-2.60E-12,,
,,-2.82E-12,,
,,-2.71E-12,,
,,-2.60E-12,,
,,-2.49E-12,,
,,-2.60E-12,,
,,-2.71E-12,,
,,-2.82E-12,,
,,-2.92E-12,,
,,-2.82E-12,,
,,-2.82E-12,,
,,-2.60E-12,,
,,-2.60E-12,,
,,-2.39E-12,,
,,-2.82E-12,,
,,-3.14E-12,,
,,-3.46E-12,,
,,-3.14E-12,,
,,-2.92E-12,,
,,-2.60E-12,,
,,-2.82E-12,,
,,-2.82E-12,,
,,-3.14E-12,,
,,-3.03E-12,,
,,-3.03E-12,,
,,-3.25E-12,,
,,-3.46E-12,,
,,-3.46E-12,,
,,-3.25E-12,,
,,-3.14E-12,,
,,-3.14E-12,,
,,-3.25E-12,,
,,-3.35E-12,,
,,-3.46E-12,,
,,-3.57E-12,,
,,-3.57E-12,,
,,-3.78E-12,,
,,-4.00E-12,,
,,-4.00E-12,,
,,-3.89E-12,,
,,-3.89E-12,,
,,-3.89E-12,,
,,-4.10E-12,,
,,-4.10E-12,,
,,-4.43E-12,,
,,-4.43E-12,,
,,-4.64E-12,,
,,-4.75E-12,,
,,-4.96E-12,,
,,-4.96E-12,,
,,-5.07E-12,,
,,-5.07E-12,,
,,-5.18E-12,,
,,-5.18E-12,,
,,-5.29E-12,,
,,-5.29E-12,,
,,-5.39E-12,,
,,-5.72E-12,,
,,-5.93E-12,,
,,-6.14E-12,,
,,-6.25E-12,,
,,-6.36E-12,,
,,-6.25E-12,,
,,-6.25E-12,,
,,-6.25E-12,,
,,-6.57E-12,,
,,-6.68E-12,,
,,-7.00E-12,,
,,-7.11E-12,,
,,-7.11E-12,,
,,-7.11E-12,,
,,-7.00E-12,,
,,-7.43E-12,,
,,-7.65E-12,,
,,-8.18E-12,,
,,-8.08E-12,,
,,-8.18E-12,,
,,-8.08E-12,,
,,-8.18E-12,,
,,-8.18E-12,,
,,-8.29E-12,,
,,-8.51E-12,,
,,-8.72E-12,,
,,-8.94E-12,,
,,-9.04E-12,,
,,-8.94E-12,,
,,-9.04E-12,,
,,-9.37E-12,,
,,-9.79E-12,,
,,-9.79E-12,,
,,-9.69E-12,,
,,-9.79E-12,,
,,-1.00E-11,,
,,-1.01E-11,,
,,-1.00E-11,,
,,-1.00E-11,,
,,-1.01E-11,,
,,-1.03E-11,,
,,-1.04E-11,,
,,-1.08E-11,,
,,-1.10E-11,,
,,-1.12E-11,,
,,-1.11E-11,,
,,-1.12E-11,,
,,-1.14E-11,,
,,-1.17E-11,,
,,-1.17E-11,,
,,-1.19E-11,,
,,-1.20E-11,,
,,-1.23E-11,,
,,-1.20E-11,,
,,-1.19E-11,,
,,-1.19E-11,,
,,-1.22E-11,,
,,-1.23E-11,,
,,-1.24E-11,,
,,-1.24E-11,,
,,-1.23E-11,,
,,-1.23E-11,,
,,-1.25E-11,,
,,-1.28E-11,,
,,-1.31E-11,,
,,-1.30E-11,,
,,-1.31E-11,,
,,-1.31E-11,,
,,-1.32E-11,,
,,-1.32E-11,,
,,-1.34E-11,,
,,-1.37E-11,,
,,-1.37E-11,,
,,-1.37E-11,,
,,-1.38E-11,,
,,-1.39E-11,,
,,-1.40E-11,,
,,-1.41E-11,,
,,-1.42E-11,,
,,-1.44E-11,,
,,-1.44E-11,,
,,-1.45E-11,,
,,-1.43E-11,,
,,-1.44E-11,,
,,-1.45E-11,,
,,-1.46E-11,,
,,-1.46E-11,,
,,-1.46E-11,,
,,-1.49E-11,,
,,-1.51E-11,,
,,-1.55E-11,,
,,-1.54E-11,,
,,-1.55E-11,,
,,-1.54E-11,,
,,-1.54E-11,,
,,-1.54E-11,,
,,-1.52E-11,,
,,-1.53E-11,,
,,-1.55E-11,,
,,-1.57E-11,,
,,-1.59E-11,,
,,-1.60E-11,,
,,-1.62E-11,,
,,-1.63E-11,,
,,-1.63E-11,,
,,-1.66E-11,,
,,-1.67E-11,,
,,-1.69E-11,,
,,-1.68E-11,,
,,-1.67E-11,,
,,-1.67E-11,,
,,-1.68E-11,,
,,-1.69E-11,,
,,-1.68E-11,,
,,-1.69E-11,,
,,-1.69E-11,,
,,-1.72E-11,,
,,-1.73E-11,,
,,-1.73E-11,,
,,-1.72E-11,,
,,-1.70E-11,,
,,-1.71E-11,,
,,-1.72E-11,,
,,-1.74E-11,,
,,-1.75E-11,,
,,-1.75E-11,,
,,-1.75E-11,,
,,-1.76E-11,,
,,-1.76E-11,,
,,-1.76E-11,,
,,-1.76E-11,,
,,-1.77E-11,,
,,-1.83E-11,,
,,-1.85E-11,,
,,-1.87E-11,,
,,-1.84E-11,,
,,-1.84E-11,,
,,-1.83E-11,,
,,-1.84E-11,,
,,-1.81E-11,,
,,-1.83E-11,,
,,-1.84E-11,,
,,-1.89E-11,,
,,-1.89E-11,,
,,-1.89E-11,,
,,-1.89E-11,,
,,-1.90E-11,,
,,-1.91E-11,,
,,-1.93E-11,,
,,-1.93E-11,,
,,-1.93E-11,,
,,-1.93E-11,,
,,-1.97E-11,,
,,-1.97E-11,,
,,-1.95E-11,,
,,-1.93E-11,,
,,-1.96E-11,,
,,-1.98E-11,,
,,-1.99E-11,,
,,-1.99E-11,,
,,-2.00E-11,,
,,-1.99E-11,,
,,-1.99E-11,,
,,-1.99E-11,,
,,-2.01E-11,,
,,-2.01E-11,,
,,-2.01E-11,,
,,-2.00E-11,,
,,-2.01E-11,,
,,-2.01E-11,,
,,-2.00E-11,,
,,-2.01E-11,,
,,-2.01E-11,,
,,-2.02E-11,,
,,-2.04E-11,,
,,-2.06E-11,,
,,-2.09E-11,,
,,-2.10E-11,,
,,-2.11E-11,,
,,-2.10E-11,,
,,-2.09E-11,,
,,-2.07E-11,,
,,-2.10E-11,,
,,-2.13E-11,,
,,-2.15E-11,,
,,-2.16E-11,,
,,-2.17E-11,,
,,-2.18E-11,,
,,-2.19E-11,,
,,-2.17E-11,,
,,-2.18E-11,,
,,-2.19E-11,,
,,-2.19E-11,,
,,-2.20E-11,,
,,-2.22E-11,,
,,-2.25E-11,,
,,-2.25E-11,,
,,-2.24E-11,,
,,-2.25E-11,,
,,-2.24E-11,,
,,-2.27E-11,,
,,-2.28E-11,,
,,-2.30E-11,,
,,-2.29E-11,,
,,-2.31E-11,,
,,-2.33E-11,,
,,-2.34E-11,,
,,-2.36E-11,,
,,-2.40E-11,,
,,-2.43E-11,,
,,-2.41E-11,,
,,-2.41E-11,,
,,-2.40E-11,,
,,-2.42E-11,,
,,-2.43E-11,,
,,-2.47E-11,,
,,-2.49E-11,,
,,-2.51E-11,,
,,-2.51E-11,,
,,-2.54E-11,,
,,-2.55E-11,,
,,-2.57E-11,,
,,-2.57E-11,,
,,-2.59E-11,,
,,-2.62E-11,,
,,-2.65E-11,,
,,-2.69E-11,,
,,-2.71E-11,,
,,-2.73E-11,,
,,-2.73E-11,,
,,-2.72E-11,,
,,-2.75E-11,,
,,-2.80E-11,,
,,-2.87E-11,,
,,-2.89E-11,,
,,-2.89E-11,,
,,-2.88E-11,,
,,-2.90E-11,,
,,-2.91E-11,,
,,-2.92E-11,,
,,-2.95E-11,,
,,-3.00E-11,,
,,-3.04E-11,,
,,-3.05E-11,,
,,-3.07E-11,,
,,-3.11E-11,,
,,-3.11E-11,,
,,-3.14E-11,,
,,-3.16E-11,,
,,-3.22E-11,,
,,-3.22E-11,,
,,-3.23E-11,,
,,-3.23E-11,,
,,-3.26E-11,,
,,-3.30E-11,,
,,-3.33E-11,,
,,-3.36E-11,,
,,-3.37E-11,,
,,-3.41E-11,,
,,-3.45E-11,,
,,-3.50E-11,,
,,-3.53E-11,,
,,-3.57E-11,,
,,-3.56E-11,,
,,-3.56E-11,,
,,-3.57E-11,,
,,-3.63E-11,,
,,-3.70E-11,,
,,-3.76E-11,,
,,-3.76E-11,,
,,-3.78E-11,,
,,-3.79E-11,,
,,-3.84E-11,,
,,-3.86E-11,,
,,-3.88E-11,,
,,-3.92E-11,,
,,-3.96E-11,,
,,-3.99E-11,,
,,-4.01E-11,,
,,-4.03E-11,,
,,-4.06E-11,,
,,-4.06E-11,,
,,-4.07E-11,,
,,-4.10E-11,,
,,-4.16E-11,,
,,-4.18E-11,,
,,-4.20E-11,,
,,-4.21E-11,,
,,-4.23E-11,,
,,-4.24E-11,,
,,-4.26E-11,,
,,-4.29E-11,,
,,-4.32E-11,,
,,-4.35E-11,,
,,-4.36E-11,,
,,-4.37E-11,,
,,-4.37E-11,,
,,-4.40E-11,,
,,-4.44E-11,,
,,-4.47E-11,,
,,-4.49E-11,,
,,-4.48E-11,,
,,-4.47E-11,,
,,-4.48E-11,,
,,-4.50E-11,,
,,-4.53E-11,,
,,-4.57E-11,,
,,-4.61E-11,,
,,-4.65E-11,,
,,-4.67E-11,,
,,-4.65E-11,,
,,-4.62E-11,,
,,-4.60E-11,,
,,-4.62E-11,,
,,-4.64E-11,,
,,-4.66E-11,,
,,-4.68E-11,,
,,-4.69E-11,,
,,-4.72E-11,,
,,-4.74E-11,,
,,-4.76E-11,,
,,-4.75E-11,,
,,-4.72E-11,,
,,-4.73E-11,,
,,-4.76E-11,,
,,-4.79E-11,,
,,-4.79E-11,,
,,-4.79E-11,,
,,-4.79E-11,,
,,-4.79E-11,,
,,-4.78E-11,,
,,-4.79E-11,,
,,-4.80E-11,,
,,-4.81E-11,,
,,-4.81E-11,,
,,-4.81E-11,,
,,-4.81E-11,,
,,-4.82E-11,,
,,-4.83E-11,,
,,-4.86E-11,,
,,-4.87E-11,,
,,-4.88E-11,,
,,-4.87E-11,,
,,-4.87E-11,,
,,-4.88E-11,,
,,-4.87E-11,,
,,-4.86E-11,,
,,-4.82E-11,,
,,-4.87E-11,,
,,-4.88E-11,,
,,-4.88E-11,,
,,-4.87E-11,,
,,-4.87E-11,,
,,-4.90E-11,,
,,-4.89E-11,,
,,-4.89E-11,,
,,-4.87E-11,,
,,-4.87E-11,,
,,-4.88E-11,,
,,-4.89E-11,,
,,-4.90E-11,,
,,-4.88E-11,,
,,-4.86E-11,,
,,-4.84E-11,,
